                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0911,                 2.6108,                 1.9731,                0.00077,                0.13094,                 0.0006,                0.00014,                 3.5128,                 274.18,                 6.8593,               0.070222,              0.0033086,              0.0033086
                      2,                 2.0816,                 2.5034,                 1.9837,                0.34368,                0.19521,                0.04467,                0.01332,                 2.8383,                 19.907,                 3.6107,               0.040156,              0.0065762,              0.0065762
                      3,                 2.0344,                 2.4117,                 1.9341,                 0.3679,                0.13065,                0.07591,                0.02698,                 2.5651,                  6.692,                 2.9142,               0.010025,              0.0097778,              0.0097778
                      4,                 1.9975,                 2.3411,                 1.9127,                0.15508,                0.22073,                0.09463,                0.03597,                   2.46,                 4.4941,                 2.6253,               0.009703,               0.009703,               0.009703
                      5,                 1.9206,                 2.2878,                  1.859,                0.03647,                0.50725,                 0.1086,                0.04396,                 2.3618,                 4.3251,                 2.5444,               0.009703,               0.009703,               0.009703
                      6,                 1.8918,                 2.1843,                 1.8141,                0.42691,                0.19926,                0.14077,                0.04831,                 2.3835,                 3.9916,                 2.5952,               0.009604,               0.009604,               0.009604
                      7,                 1.8638,                 2.1295,                 1.7819,                0.21933,                0.38822,                0.18162,                  0.074,                 2.3263,                 3.1243,                 2.5718,               0.009505,               0.009505,               0.009505
                      8,                 1.8158,                 2.1093,                 1.7615,                0.19905,                0.30329,                0.13735,                0.05116,                 2.3187,                 3.2109,                 2.5574,               0.009406,               0.009406,               0.009406
                      9,                 1.8347,                 2.1104,                 1.7731,                0.16556,                0.30409,                0.16339,                0.06042,                 2.3154,                 3.3631,                 2.5003,               0.009307,               0.009307,               0.009307
                     10,                 1.7991,                 2.0315,                 1.7472,                0.23121,                0.29988,                0.21164,                0.08139,                  2.225,                 3.0962,                 2.4904,               0.009208,               0.009208,               0.009208
                     11,                 1.7804,                 1.9267,                 1.7137,                0.23965,                0.35153,                0.19779,                0.06917,                 2.2854,                 3.0158,                 2.4872,               0.009109,               0.009109,               0.009109
                     12,                 1.7615,                 1.9391,                 1.6995,                0.27443,                0.27462,                0.24296,                0.08673,                 2.2207,                   2.93,                 2.4926,                0.00901,                0.00901,                0.00901
                     13,                 1.7674,                  1.955,                 1.7068,                0.21227,                0.35374,                0.21644,                0.10022,                 2.1151,                 2.7836,                 2.3149,               0.008911,               0.008911,               0.008911
                     14,                 1.7287,                 1.9057,                 1.6877,                0.34051,                0.31789,                0.27216,                 0.1091,                  2.127,                 2.8739,                 2.3345,               0.008812,               0.008812,               0.008812
                     15,                 1.7264,                  1.847,                   1.65,                0.25744,                0.55235,                0.31028,                0.14481,                 2.0138,                 3.5982,                 2.1815,               0.008713,               0.008713,               0.008713
                     16,                 1.7081,                  1.829,                 1.6442,                0.24957,                0.48925,                0.30318,                   0.13,                 2.1299,                 2.9204,                 2.3067,               0.008614,               0.008614,               0.008614
                     17,                 1.6974,                 1.8429,                 1.6635,                0.33424,                0.41962,                0.29771,                0.14195,                 2.1055,                 2.8945,                  2.312,               0.008515,               0.008515,               0.008515
                     18,                 1.6955,                 1.8169,                 1.6404,                0.34845,                0.45884,                0.32569,                0.14741,                  2.073,                 2.6452,                 2.2134,               0.008416,               0.008416,               0.008416
                     19,                 1.6858,                 1.7808,                 1.6455,                 0.3108,                0.52589,                0.36362,                0.18451,                 1.9382,                 2.5867,                 2.1361,               0.008317,               0.008317,               0.008317
                     20,                 1.6682,                 1.7606,                 1.6346,                0.32812,                0.55878,                0.35915,                 0.1734,                  1.972,                 2.5433,                 2.1822,               0.008218,               0.008218,               0.008218
                     21,                 1.6603,                 1.7668,                  1.631,                0.32723,                0.49785,                0.32961,                0.14867,                 2.0551,                  2.709,                 2.2816,               0.008119,               0.008119,               0.008119
                     22,                 1.6464,                  1.751,                  1.612,                 0.3377,                0.58978,                0.30044,                0.12726,                  2.114,                 2.9411,                 2.2936,                0.00802,                0.00802,                0.00802
                     23,                 1.6142,                 1.7028,                 1.5929,                0.36192,                0.53742,                0.35236,                0.18453,                 1.9913,                 2.6093,                 2.2073,               0.007921,               0.007921,               0.007921
                     24,                 1.6295,                 1.6801,                 1.5921,                0.29152,                0.51705,                0.27649,                0.11846,                 2.1406,                 2.7061,                 2.2807,               0.007822,               0.007822,               0.007822
                     25,                 1.6402,                 1.7097,                 1.6006,                0.31964,                0.53417,                0.38304,                0.17555,                 1.9847,                 2.5698,                 2.1627,               0.007723,               0.007723,               0.007723
                     26,                  1.606,                 1.6359,                 1.5787,                 0.3434,                0.55143,                0.37342,                0.18128,                 1.9226,                 2.4524,                  2.138,               0.007624,               0.007624,               0.007624
                     27,                  1.615,                 1.6942,                 1.5961,                0.37926,                0.53958,                0.41774,                0.19448,                 2.0085,                 2.3934,                 2.1878,               0.007525,               0.007525,               0.007525
                     28,                    1.6,                 1.6329,                 1.5878,                0.34383,                0.62278,                0.47454,                0.25182,                 1.9281,                 2.3271,                  2.117,               0.007426,               0.007426,               0.007426
                     29,                 1.6007,                 1.6713,                 1.5892,                0.40514,                0.59321,                0.46223,                0.23802,                 1.8288,                 2.3244,                  2.034,               0.007327,               0.007327,               0.007327
                     30,                 1.5752,                 1.5813,                 1.5665,                0.34377,                0.59915,                0.44511,                0.22669,                 1.9631,                 2.2265,                 2.1756,               0.007228,               0.007228,               0.007228
                     31,                 1.5685,                 1.5831,                 1.5442,                0.36856,                0.64214,                0.44036,                0.21968,                 1.8895,                 2.3998,                 2.0799,               0.007129,               0.007129,               0.007129
                     32,                 1.5614,                 1.5962,                 1.5494,                0.32513,                0.51444,                0.35526,                0.19091,                 1.8828,                 2.4688,                 2.0738,                0.00703,                0.00703,                0.00703
                     33,                 1.5724,                 1.6229,                 1.5671,                0.59258,                0.37822,                0.44468,                0.23491,                 2.0406,                 2.5859,                 2.2828,               0.006931,               0.006931,               0.006931
                     34,                 1.5425,                 1.5807,                 1.5299,                0.33733,                 0.6393,                0.47309,                0.24634,                 1.8954,                 2.3277,                 2.1242,               0.006832,               0.006832,               0.006832
                     35,                 1.5413,                 1.5605,                 1.5514,                0.41653,                0.53044,                0.46249,                0.22974,                  1.954,                 2.5534,                 2.1564,               0.006733,               0.006733,               0.006733
                     36,                 1.5442,                  1.582,                 1.5531,                0.39063,                0.61374,                0.47781,                0.26545,                 1.8377,                 2.2342,                 2.0601,               0.006634,               0.006634,               0.006634
                     37,                 1.5386,                   1.57,                 1.5466,                0.38746,                0.62887,                0.50314,                0.28973,                 1.9032,                  2.427,                 2.1098,               0.006535,               0.006535,               0.006535
                     38,                 1.5391,                 1.5576,                 1.5409,                0.42137,                0.56111,                0.46629,                0.27065,                 1.8702,                 2.4666,                 2.1014,               0.006436,               0.006436,               0.006436
                     39,                 1.5232,                 1.5219,                 1.5279,                0.46389,                0.59397,                0.49365,                0.28188,                 1.8466,                  2.061,                 2.0212,               0.006337,               0.006337,               0.006337
                     40,                 1.5198,                 1.5195,                 1.5437,                0.44981,                0.53687,                0.46874,                0.26663,                 1.7384,                 2.4111,                 1.9642,               0.006238,               0.006238,               0.006238
                     41,                 1.5069,                 1.4961,                   1.51,                0.37388,                0.62789,                0.51108,                0.27876,                 1.8283,                 2.1671,                 2.0778,               0.006139,               0.006139,               0.006139
                     42,                 1.5012,                 1.4685,                 1.5085,                0.37772,                0.70202,                0.53409,                0.32315,                 1.7786,                 2.1664,                 2.0138,                0.00604,                0.00604,                0.00604
                     43,                 1.4828,                 1.4767,                  1.504,                0.41328,                 0.5597,                0.44531,                0.25965,                 1.8077,                 2.2989,                 2.0371,               0.005941,               0.005941,               0.005941
                     44,                 1.4833,                 1.4598,                 1.5025,                0.45418,                0.61581,                0.53812,                0.30065,                 1.9106,                 2.2421,                 2.0956,               0.005842,               0.005842,               0.005842
                     45,                 1.4934,                 1.4438,                 1.5002,                0.54612,                0.54903,                0.50808,                0.29465,                  1.903,                 2.1368,                 2.0776,               0.005743,               0.005743,               0.005743
                     46,                 1.4773,                  1.466,                 1.5051,                0.41236,                0.60399,                0.46954,                0.28344,                 1.8272,                 2.4114,                 2.0617,               0.005644,               0.005644,               0.005644
                     47,                 1.4687,                 1.4526,                 1.4946,                0.48563,                 0.6302,                 0.5313,                0.32425,                 1.7416,                 2.1759,                 1.9546,               0.005545,               0.005545,               0.005545
                     48,                 1.4829,                 1.4454,                 1.4995,                0.41235,                0.65629,                0.54533,                0.33517,                 1.7506,                 1.9668,                 1.9696,               0.005446,               0.005446,               0.005446
                     49,                 1.4792,                 1.4459,                 1.5045,                0.46202,                0.59591,                0.48831,                0.28217,                 1.9164,                 2.2599,                 2.1378,               0.005347,               0.005347,               0.005347
